Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Pkt Len Min,Pkt Len Max,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt
53,17,1719672044.904991,0.0,0,1,0,92,0,0,92,92,0,0,0,0,0,0,0,0
63574,17,1719672044.9137955,0.0,0,1,0,227,0,0,227,227,0,0,0,0,0,0,0,0
443,6,1719672044.9158125,0.0,1,0,66,0,0,0,66,66,0,1,0,0,0,0,0,0
52307,6,1719672044.9579794,0.0,1,0,66,0,0,0,66,66,0,1,0,0,1,0,0,0
443,6,1719672044.9625223,0.04670977592468262,2,0,120,0,2569.055355638925,42.81758926064875,54,66,0,1,0,0,1,0,0,0
443,6,1719672044.9625223,0.04670977592468262,3,0,691,0,14793.477089554144,64.22638389097312,54,571,0,1,0,1,2,0,0,0
52307,6,1719672045.008273,0.0502934455871582,2,0,219,0,4354.444151583818,39.76661325647322,66,153,0,1,0,1,2,0,0,0
443,6,1719672045.0131772,0.09736466407775879,4,0,1182,0,12139.927880365447,41.082666261812,54,571,0,1,0,2,3,0,0,0
52307,6,1719672045.0681622,0.1101827621459961,3,0,1725,0,15655.806465573203,27.2274895053447,66,1506,0,1,0,1,3,0,0,0
52307,6,1719672045.077672,0.1101827621459961,4,0,3231,0,29324.006197256243,36.3033193404596,66,1506,0,1,0,1,4,0,0,0
52307,6,1719672045.078018,0.12003850936889648,5,0,4737,0,39462.3360861845,41.65329964765094,66,1506,0,1,0,1,5,0,0,0
52307,6,1719672045.078018,0.12003850936889648,6,0,4965,0,41361.72655011738,49.983959577181125,66,1506,0,1,0,2,6,0,0,0
443,6,1719672045.083058,0.16724562644958496,5,0,1236,0,7390.327784580864,29.896147995877282,54,571,0,1,0,2,4,0,0,0
443,6,1719672045.0880985,0.1722860336303711,6,0,6984,0,40537.23829398577,34.825806094489494,54,5748,0,1,0,3,5,0,0,0
53,17,1719672045.0931432,0.18815231323242188,0,2,0,184,0.0,0.0,92,92,0,0,0,0,0,0,0,0
53,17,1719672045.0977504,0.19275951385498047,0,3,0,276,0.0,0.0,92,92,0,0,0,0,0,0,0,0
443,6,1719672045.0977504,0.0,1,0,172,0,0,0,172,172,0,0,0,1,1,0,0,0
443,6,1719672045.0977504,0.0,2,0,265,0,0,0,93,172,0,0,0,2,2,0,0,0
443,6,1719672045.1091661,0.011415719985961914,3,0,7555,0,661806.7024498235,262.79551387815627,93,7290,0,0,0,3,3,0,0,0
58345,17,1719672045.1127288,0.19893336296081543,0,2,0,335,0.0,0.0,108,227,0,0,0,0,0,0,0,0
50103,17,1719672045.1182828,0.20448732376098633,0,3,0,635,0.0,0.0,108,300,0,0,0,0,0,0,0,0
52307,6,1719672045.1253514,0.1673719882965088,7,0,5122,0,30602.492401094572,41.82300796713432,66,1506,0,1,0,3,7,0,0,0
52307,6,1719672045.1279595,0.16998004913330078,8,0,5176,0,30450.632450052457,47.06434690889097,54,1506,0,1,0,3,8,0,0,0
52307,6,1719672045.1279595,0.16998004913330078,9,0,5695,0,33503.93195576676,52.94739027250234,54,1506,1,1,0,4,9,0,0,0
443,6,1719672045.1279595,0.21214699745178223,7,0,7038,0,33175.11011014723,32.995989026858574,54,5748,0,1,0,3,6,0,0,0
443,6,1719672045.1279595,0.21214699745178223,8,0,7116,0,33542.7797021608,37.709701744981224,54,5748,0,1,0,4,7,0,0,0
443,6,1719672045.136285,0.21214699745178223,9,0,7170,0,33797.320188939426,42.42341446310388,54,5748,1,1,0,4,8,0,0,0
52307,6,1719672045.1778347,0.21985530853271484,10,0,5749,0,26149.016088663328,45.48446006029453,54,1506,1,1,0,4,10,0,0,0
443,6,1719672045.2841144,0.0,1,0,55,0,0,0,55,55,0,0,0,0,1,0,0,0
52284,6,1719672045.2880476,0.0,1,0,54,0,0,0,54,54,0,0,0,0,1,0,0,0
52284,6,1719672045.2880476,0.0,2,0,108,0,0,0,54,54,0,0,0,0,2,0,0,0
52284,6,1719672045.2985947,0.010168075561523438,3,0,162,0,15932.218345526167,295.0410804727068,54,54,0,0,0,0,3,0,0,0
52284,6,1719672045.300252,0.012204408645629883,4,0,255,0,20894.08896442595,327.7504151282502,54,93,0,0,0,1,4,0,0,0
52302,6,1719672045.308565,0.0,1,0,66,0,0,0,66,66,0,0,0,0,1,0,0,0
443,6,1719672045.3486726,0.25092220306396484,4,0,7609,0,30324.139940937475,15.941195921113142,54,7290,0,0,0,3,4,0,0,0
443,6,1719672045.4656146,0.0,1,0,55,0,0,0,55,55,0,0,0,0,1,0,0,0
52228,6,1719672045.513233,0.0,1,0,66,0,0,0,66,66,0,0,0,0,1,0,0,0
52284,6,1719672045.5447962,0.25674867630004883,5,0,408,0,1589.1026426293688,19.474297091046186,54,153,0,0,0,2,5,0,0,0
443,6,1719672045.5447962,0.44704580307006836,5,0,7698,0,17219.712045464483,11.18453627271011,54,7290,0,0,0,4,5,0,0,0
52284,6,1719672045.817944,0.5298964977264404,6,0,462,0,871.86837803655,11.322965948526623,54,153,0,0,0,2,6,0,0,0
443,17,1719672046.1615696,0.0,0,1,0,226,0,0,226,226,0,0,0,0,0,0,0,0
57476,17,1719672046.1881874,0.0,0,1,0,74,0,0,74,74,0,0,0,0,0,0,0,0
443,17,1719672046.2108645,0.04929494857788086,0,2,0,301,0.0,0.0,75,226,0,0,0,0,0,0,0,0
57476,17,1719672046.2432134,0.05502605438232422,0,2,0,189,0.0,0.0,74,115,0,0,0,0,0,0,0,0
443,17,1719672046.2479734,0.08640384674072266,0,3,0,381,0.0,0.0,75,226,0,0,0,0,0,0,0,0
52192,6,1719672046.2505994,0.0,1,0,179,0,0,0,179,179,0,0,0,1,1,0,0,0
52185,6,1719672046.2505994,0.0,2,0,358,0,0,0,179,179,0,0,0,2,2,0,0,0
52174,6,1719672046.2589765,0.0,1,0,142,0,0,0,142,142,0,0,0,1,1,0,0,0
57476,17,1719672046.2782812,0.09009385108947754,0,3,0,257,0.0,0.0,68,115,0,0,0,0,0,0,0,0
443,17,1719672046.2782812,0.11671161651611328,0,4,0,544,0.0,0.0,75,226,0,0,0,0,0,0,0,0
443,6,1719672046.2911046,0.0,1,0,54,0,0,0,54,54,0,0,0,0,1,0,0,0
443,6,1719672046.307999,0.01689434051513672,2,0,108,0,6392.6733276884,118.38283940163703,54,54,0,0,0,0,2,0,0,0
4070,6,1719672046.307999,0.0,1,0,54,0,0,0,54,54,0,0,0,0,1,0,0,0
57476,17,1719672046.3180432,0.12985587120056152,0,4,0,331,0.0,0.0,68,115,0,0,0,0,0,0,0,0
443,17,1719672046.3234663,0.1618967056274414,0,5,0,619,0.0,0.0,75,226,0,0,0,0,0,0,0,0
57476,17,1719672046.3553104,0.16712307929992676,0,5,0,413,0.0,0.0,68,115,0,0,0,0,0,0,0,0
57476,17,1719672046.3580682,0.16988086700439453,0,6,0,819,0.0,0.0,68,406,0,0,0,0,0,0,0,0
443,17,1719672046.3580682,0.19649863243103027,0,6,0,699,0.0,0.0,75,226,0,0,0,0,0,0,0,0
443,17,1719672046.371175,0.20960545539855957,0,7,0,774,0.0,0.0,75,226,0,0,0,0,0,0,0,0
57476,17,1719672046.3779085,0.18972110748291016,0,7,0,887,0.0,0.0,68,406,0,0,0,0,0,0,0,0
60861,17,1719672046.388117,0.0,0,1,0,120,0,0,120,120,0,0,0,0,0,0,0,0
60861,17,1719672046.3931384,0.005021333694458008,0,2,0,184,0.0,0.0,64,120,0,0,0,0,0,0,0,0
443,17,1719672046.4029002,0.0,0,1,0,75,0,0,75,75,0,0,0,0,0,0,0,0
443,17,1719672046.473012,0.07011175155639648,0,2,0,1367,0.0,0.0,75,1292,0,0,0,0,0,0,0,0
443,17,1719672046.4780257,0.07512545585632324,0,3,0,2659,0.0,0.0,75,1292,0,0,0,0,0,0,0,0
443,17,1719672046.4780257,0.07512545585632324,0,4,0,2781,0.0,0.0,75,1292,0,0,0,0,0,0,0,0
443,17,1719672046.5132406,0.11034035682678223,0,5,0,3389,0.0,0.0,75,1292,0,0,0,0,0,0,0,0
61476,17,1719672046.515844,0.12772703170776367,0,3,0,1476,0.0,0.0,64,1292,0,0,0,0,0,0,0,0
61476,17,1719672046.5426562,0.1545391082763672,0,4,0,2768,0.0,0.0,64,1292,0,0,0,0,0,0,0,0
61476,17,1719672046.5426562,0.1545391082763672,0,5,0,3117,0.0,0.0,64,1292,0,0,0,0,0,0,0,0
61476,17,1719672046.5500994,0.16198229789733887,0,6,0,4102,0.0,0.0,64,1292,0,0,0,0,0,0,0,0
61476,17,1719672046.5500994,0.16198229789733887,0,7,0,4200,0.0,0.0,64,1292,0,0,0,0,0,0,0,0
61476,17,1719672046.5566306,0.16851353645324707,0,8,0,4266,0.0,0.0,64,1292,0,0,0,0,0,0,0,0
443,17,1719672046.5704706,0.1675703525543213,0,6,0,4681,0.0,0.0,75,1292,0,0,0,0,0,0,0,0
443,17,1719672046.5764658,0.17356562614440918,0,7,0,4754,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
61476,17,1719672046.5780387,0.18992161750793457,0,9,0,4428,0.0,0.0,64,1292,0,0,0,0,0,0,0,0
61476,17,1719672046.605099,0.2169818878173828,0,10,0,4492,0.0,0.0,64,1292,0,0,0,0,0,0,0,0
443,17,1719672046.6081338,0.20523357391357422,0,8,0,4827,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
443,17,1719672046.6100335,0.20713329315185547,0,9,0,4901,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
61476,17,1719672046.6812003,0.29308319091796875,0,11,0,4733,0.0,0.0,64,1292,0,0,0,0,0,0,0,0
61476,17,1719672046.6812003,0.29308319091796875,0,12,0,4796,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
443,17,1719672046.6865804,0.2836802005767822,0,10,0,4978,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
443,17,1719672046.6882446,0.28534436225891113,0,11,0,5504,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
61476,17,1719672046.7089112,0.32079410552978516,0,13,0,4863,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
443,17,1719672046.7164085,0.3135082721710205,0,12,0,5577,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
60861,17,1719672046.7224424,0.33432531356811523,0,14,0,4934,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
443,17,1719672046.7296937,0.3267934322357178,0,13,0,5652,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
60861,17,1719672046.854849,0.4667320251464844,0,15,0,5061,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
443,17,1719672046.860354,0.45745372772216797,0,14,0,5731,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
60861,17,1719672046.890021,0.5019040107727051,0,16,0,5128,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
443,17,1719672047.0916696,0.6887693405151367,0,15,0,5802,0.0,0.0,71,1292,0,0,0,0,0,0,0,0
60861,17,1719672047.124051,0.7359340190887451,0,17,0,5195,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
53561,6,1719672047.1753402,0.0,1,0,332,0,0,0,332,332,0,0,0,1,1,0,0,0
5222,6,1719672047.2180054,0.0,1,0,54,0,0,0,54,54,0,0,0,0,1,0,0,0
443,17,1719672047.336659,0.9337587356567383,0,16,0,5873,0.0,0.0,71,1292,0,0,0,0,0,0,0,0
60861,17,1719672047.3677883,0.9796712398529053,0,18,0,5262,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
5222,6,1719672047.4579144,0.23990893363952637,2,0,180,0,750.2846904003077,8.336496560003418,54,126,0,0,0,1,2,0,0,0
53561,6,1719672047.4678588,0.2929563522338867,2,0,388,0,1324.4293801495505,6.826955567781189,56,332,0,0,0,1,2,0,0,0
443,17,1719672047.578783,1.1758828163146973,0,17,0,5944,0.0,0.0,71,1292,0,0,0,0,0,0,0,0
60861,17,1719672047.6121027,1.2239856719970703,0,19,0,5329,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
443,17,1719672047.8183162,1.4154160022735596,0,18,0,6015,0.0,0.0,71,1292,0,0,0,0,0,0,0,0
60861,17,1719672047.849309,1.4611918926239014,0,20,0,5396,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
443,17,1719672048.0532527,1.6503524780273438,0,19,0,6086,0.0,0.0,71,1292,0,0,0,0,0,0,0,0
53,17,1719672048.0693598,3.1643688678741455,0,4,0,351,0.0,0.0,75,92,0,0,0,0,0,0,0,0
56793,17,1719672048.08321,3.169414520263672,0,4,0,726,0.0,0.0,91,300,0,0,0,0,0,0,0,0
443,17,1719672048.088127,0.0,0,1,0,1292,0,0,1292,1292,0,0,0,0,0,0,0,0
443,17,1719672048.088127,0.0,0,2,0,2584,0,0,1292,1292,0,0,0,0,0,0,0,0
60861,17,1719672048.0931702,1.7050530910491943,0,21,0,5463,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
443,17,1719672048.098475,0.010348081588745117,0,3,0,2701,0.0,0.0,117,1292,0,0,0,0,0,0,0,0
53028,17,1719672048.1400695,0.0,0,1,0,1292,0,0,1292,1292,0,0,0,0,0,0,0,0
